iter	Passed	Remaining
888	11711	1462
889	11722	1448
890	11733	1435
891	11744	1421
892	11754	1408
893	11765	1395
894	11776	1381
895	11788	1368
896	11798	1354
897	11809	1341
898	11820	1327
899	11830	1314
900	11841	1301
901	11851	1287
902	11862	1274
903	11873	1260
904	11886	1247
905	11899	1234
906	11910	1221
907	11926	1208
908	11940	1195
909	11951	1182
910	11963	1168
911	11975	1155
912	11987	1142
913	12004	1129
914	12016	1116
915	12031	1103
916	12044	1090
917	12054	1076
918	12069	1063
919	12083	1050
920	12103	1038
921	12116	1025
922	12127	1011
923	12137	998
924	12148	984
925	12159	971
926	12169	958
927	12180	945
928	12190	931
929	12201	918
930	12211	905
931	12221	891
932	12232	878
933	12243	865
934	12254	851
935	12264	838
936	12275	825
937	12286	812
938	12296	798
939	12307	785
940	12317	772
941	12328	759
942	12339	745
943	12349	732
944	12360	719
945	12371	706
946	12381	692
947	12392	679
948	12403	666
949	12413	653
950	12423	640
951	12434	626
952	12445	613
953	12455	600
954	12469	587
955	12483	574
956	12521	562
957	12532	549
958	12543	536
959	12554	523
960	12564	509
961	12574	496
962	12585	483
963	12597	470
964	12608	457
965	12619	444
966	12631	431
967	12642	417
968	12653	404
969	12664	391
970	12676	378
971	12688	365
972	12699	352
973	12710	339
974	12721	326
975	12732	313
976	12743	300
977	12755	286
978	12767	273
979	12778	260
980	12790	247
981	12801	234
982	12813	221
983	12823	208
984	12835	195
985	12846	182
986	12858	169
987	12869	156
988	12880	143
989	12896	130
990	12908	117
991	12921	104
992	12932	91
993	12949	78
994	12972	65
995	12984	52
996	12997	39
997	13009	26
998	13024	13
999	13038	0
